url,folder,title,note,tags,created
https://librairie.ademe.fr/economie-circulaire-et-dechets/9167-guide-de-l-influence-responsable-9791029723919.html,Veille marketing responsable - M1 Tech Lead,S01 - Guide de l'influence responsable,"ADEME | Publication: 2026-04-08 | Consultation: 2026-09-05
Guide opérationnel sur les pratiques d'influence, les enjeux éthiques et la réduction des effets de surconsommation dans les contenus sociaux.
Interet: Source centrale pour encadrer les partenariats influenceurs, les annotations de veille et les recommandations aux marques.
Portee: Contenu de la page publique; resume reformule
",Influence responsable,2026-09-05
https://librairie.ademe.fr/societe-et-politiques-publiques/8839-10637-guide-anti-greenwashing-de-l-ademe-edition-2025-9791029724312.html,Veille marketing responsable - M1 Tech Lead,S02 - Guide anti-greenwashing de l'ADEME - edition 2025,"ADEME | Publication: 2025-12-02 | Consultation: 2026-09-05
Ressource pratique destinée aux communicants pour éviter les allégations environnementales vagues ou trompeuses et intégrer les évolutions réglementaires.
Interet: Base de contrôle des messages de campagne et des claims environnementaux.
Portee: Contenu de la page publique; resume reformule
",Anti-greenwashing,2026-09-05
https://communication-responsable.ademe.fr/fondamentaux,Veille marketing responsable - M1 Tech Lead,S03 - Les fondamentaux de la communication responsable,"ADEME | Publication: non etablie | Consultation: 2026-09-05
Portail qui insiste sur la sincérité, la transformation réelle, l'analyse de pertinence, l'eco-socio-conception et la mobilisation des parties prenantes.
Interet: Cadre méthodologique pour structurer une offre de conseil en marketing responsable.
Portee: Contenu de la page publique; resume reformule
",Communication responsable,2026-09-05
https://communication-responsable.ademe.fr/barometre-de-la-consommation-responsable-2025-greenflex-et-lademe,Veille marketing responsable - M1 Tech Lead,S04 - Barometre de la consommation responsable 2025,"GreenFlex et ADEME | Publication: 2025-07-01 | Consultation: 2026-09-05
Le baromètre constate une conscience climatique élevée mais un engagement plus fragile, freiné par les prix, les promotions et les injonctions de consommation.
Interet: Permet de relier la demande client à des messages plus sobres, utiles et crédibles.
Portee: Contenu de la page publique; resume reformule
",Consommation responsable,2026-09-05
https://www.arpp.org/actualite/bilan-publicite-et-environnement-2023-2024/,Veille marketing responsable - M1 Tech Lead,S05 - Bilan publicite et environnement 2023-2024,"ARPP | Publication: 2024-10-02 | Consultation: 2026-09-05
Bilan d'application de la recommandation developpement durable, portant sur des publicites environnementales observees sur plusieurs medias.
Interet: Permet de surveiller les manquements, reserves et tendances de representation dans la publicite.
Portee: Page de presentation du bilan; rapport non utilise pour des chiffres
",Publicite environnementale,2026-09-05
https://www.arpp.org/nous-consulter/regles/regles-de-deontologie/developpement-durable/,Veille marketing responsable - M1 Tech Lead,S06 - Recommandation Developpement durable v3,"ARPP | Publication: non etablie | Consultation: 2026-09-05
Règles deontologiques applicables aux publicites utilisant un argument ecologique, social, societal ou economique lie au developpement durable.
Interet: Grille de conformité pour evaluer les campagnes et limiter les risques de greenwashing.
Portee: Contenu de la page publique; resume reformule
Recommandation deontologique v3 en vigueur depuis le 01/08/2020; distincte d'une loi.",Deontologie publicitaire,2026-09-05
https://www.economie.gouv.fr/dgccrf/actualites-dgccrf/marketing-dinfluence-la-dgccrf-intensifie-ses-controles-au-premier-trimestre-2023,Veille marketing responsable - M1 Tech Lead,S07 - Marketing d'influence: controles au premier trimestre 2023,"DGCCRF | Publication: 2023-05-03 | Consultation: 2026-09-05
La DGCCRF signale 50 influenceurs controles au premier trimestre 2023 et des constats d'infraction pour 60 pour cent d'entre eux.
Interet: Indique un risque réglementaire concret et la necessite de transparence des partenariats commerciaux.
Portee: Contenu de la page publique; resume reformule
Controle cible de 50 influenceurs en 2023; les 60 % ne representent pas tous les influenceurs.",Influence commerciale,2026-09-05
https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32024L0825,Veille marketing responsable - M1 Tech Lead,S08 - Directive UE 2024/825 sur la transition verte des consommateurs,"Union europeenne - EUR-Lex | Publication: 2024-03-06 | Consultation: 2026-09-05
La directive encadre les allégations environnementales et les labels de durabilité. L'article 4 fixe une transposition au 27 mars 2026 et une application des dispositions au 27 septembre 2026. Son entrée en vigueur ne signifie pas application immédiate de toutes les nouvelles mesures.
Interet: Source juridique majeure pour anticiper les exigences de preuve, labels et engagements climatiques.
Portee: Contenu de la page publique; resume reformule
Articles 4 et 5 verifies. Calendrier europeen; aucune conclusion sur la transposition francaise.",Reglementation europeenne,2026-09-05
https://www.europarl.europa.eu/news/en/press-room/20240308IPR19001/parliament-wants-to-improve-consumer-protection-against-misleading-claims,Veille marketing responsable - M1 Tech Lead,S09 - Green claims: position du Parlement europeen,"Parlement europeen | Publication: 2024-03-12 | Consultation: 2026-09-05
Le Parlement a adopté en première lecture sa position sur une proposition distincte de directive relative à la justification des allégations environnementales. Cette position de 2024 n'est pas une loi applicable. Voir S19 pour le suivi de procédure en 2026.
Interet: Alerte de veille sur la montee de l'exigence de justification avant publication des claims.
Portee: Contenu de la page publique; resume reformule
",Green claims,2026-09-05
https://www.cnil.fr/fr/publicite-en-ligne-la-cnil-se-prepare-aux-evolutions-des-modeles-daffaires,Veille marketing responsable - M1 Tech Lead,S10 - Publicite en ligne et evolution des modeles d'affaires,"CNIL | Publication: 2024-07-04 | Consultation: 2026-09-05
Étude exploratoire publiée en 2024 sur les modèles publicitaires et la vie privée, issue de 25 entretiens conduits fin 2023-début 2024. Elle distingue ciblage contextuel, données propriétaires et retail media. Ses hypothèses sur le calendrier des cookies tiers sont historiques et ne sont pas reprises comme actualité.
Interet: Montre que la responsabilite marketing inclut aussi la sobriete data, le consentement et l'interoperabilite.
Portee: Contenu de la page publique; resume reformule
Photographie 2023-2024, aucune affirmation d'une suppression effective des cookies tiers.",Donnees personnelles et publicite,2026-09-05
https://www.cnil.fr/fr/cookies-et-autres-traceurs,Veille marketing responsable - M1 Tech Lead,S11 - Cookies et autres traceurs,"CNIL | Publication: non etablie | Consultation: 2026-09-05
Page de reference sur les règles applicables aux cookies et traceurs dans le cadre du ciblage publicitaire.
Interet: Source utile pour documenter les criteres de collecte de donnees conformes.
Portee: Contenu de la page publique; resume reformule
",Consentement,2026-09-05
